id,crew_id,movie_id
0,7879,862
1,7879,10020
2,7879,9487
3,7879,863
4,7879,585
5,7879,12
6,7879,9806
7,7879,4935
8,7879,920
9,7879,2062
10,7879,10681
11,7879,14160
12,7879,10198
13,7879,10193
14,7879,38757
15,7879,82690
16,7879,140420
17,7879,62211
18,7879,109445
19,7879,177572
20,7879,150540
21,7879,105864
22,7879,269149
23,7879,127380
24,7879,399106
25,7879,277834
26,12891,862
27,12891,10865
28,12891,16320
29,12891,24428
30,12891,22970
31,12891,99861
32,7,862
33,7,9487
34,7,863
35,7,585
36,7,12
37,7,2062
38,7,10681
39,7,14160
40,7,10193
41,7,62211
42,7,150540
43,7,127380
44,7,399106
45,12892,862
46,12893,862
47,12894,862
48,12894,581
49,12894,37135
50,12894,10191
51,12894,82702
52,12895,862
53,12896,862
54,12897,862
55,12897,10681
56,12897,10193
57,8,862
58,8,9487
59,8,863
60,8,585
61,8,12
62,8,10193
63,8,62211
64,7883,862
65,7883,585
66,7883,12
67,7883,9806
68,7883,10681
69,7883,14160
70,7883,150540
71,1168870,862
72,1552883,862
73,1552883,863
74,1552883,2787
75,1552883,10865
76,1453514,862
77,1453514,329
78,1453514,9479
79,1453514,14836
80,1414182,862
81,1414182,2787
82,1414182,87502
83,7885,862
84,7885,9487
85,7885,11005
86,7885,863
87,7885,1597
88,7885,585
89,7885,920
90,7885,10198
91,7885,10193
92,7885,62211
93,1429549,862
94,1429549,812
95,1429549,10020
96,1429549,380
97,1429549,857
98,1429549,863
99,1429549,98
100,1429549,644
101,1429549,180
102,1429549,565
103,1429549,640
104,7949,862
105,7949,863
106,7949,585
107,7949,12
108,12890,862
109,12890,863
110,12890,585
111,12890,10681
112,12890,14160
113,12890,62177
114,12890,150540
115,7911,862
116,7911,10020
117,7911,10144
118,7911,9487
119,7911,3933
120,7911,920
121,1629419,862
122,1629419,10545
123,7961,862
124,7961,863
125,7961,585
126,12905,862
127,12905,863
128,1748707,862
129,1748707,863
130,4949,862
131,4949,603
132,4949,1597
133,4949,604
134,4949,605
135,1372885,862
136,1372885,380
137,1372885,11005
138,1372885,1538
139,1739962,862
140,1739962,585
141,1739962,10009
142,1748513,862
143,1748513,10009
144,1458006,862
145,1458006,863
146,1458006,585
147,1748557,862
148,2216,862
149,2216,329
150,2216,280
151,2216,11970
152,2216,857
153,2216,863
154,2216,644
155,2216,585
156,2216,180
157,2216,12
158,2216,57212
159,2216,135397
160,2216,140607
161,2216,296098
162,12909,862
163,12909,863
164,953331,862
165,953331,10545
166,953331,863
167,953331,920
168,953331,14160
169,953331,10198
170,953331,38757
171,7893,862
172,7893,863
173,7893,585
174,8025,862
175,8025,863
176,8025,585
177,78009,862
178,78009,863
179,78009,11774
180,78009,70160
181,1748682,862
182,1454030,862
183,1454030,9479
184,1748683,862
185,1748684,862
186,8029,862
187,8029,863
188,8029,585
189,1426773,862
190,1426773,644
191,1426773,22
192,1426773,68735
193,1426773,330459
194,8035,862
195,8035,585
196,1748688,862
197,587314,862
198,587314,14836
199,7918,862
200,7918,863
201,7918,585
202,1748689,862
203,7892,862
204,7892,863
205,7892,585
206,7892,12
207,555795,862
208,555795,863
209,7882,862
210,7882,585
211,8017,862
212,8017,863
213,8017,585
214,1184140,862
215,8049,862
216,8049,863
217,8049,585
218,1509559,862
219,1748691,862
220,1748691,863
221,8050,862
222,8050,863
223,8050,585
224,8010,862
225,8010,863
226,8010,585
227,8010,920
228,8044,862
229,8044,863
230,8044,585
231,1454034,862
232,1454034,9479
233,7887,862
234,7887,585
235,7887,920
236,7887,10681
237,1406878,862
238,1406878,62177
239,1748698,862
240,1748698,12
241,1748699,862
242,1748701,862
243,1748703,862
244,12912,862
245,12912,9487
246,12912,863
247,12912,12
248,7899,862
249,7899,863
250,7899,2062
251,12915,862
252,12915,863
253,12915,920
254,1748705,862
255,7889,862
256,7889,585
257,7889,920
258,7889,10193
259,1748706,862
260,1176752,862
261,1088034,862
262,1447465,862
263,1447465,812
264,1447465,10020
265,1748709,862
266,1748710,862
267,1443471,862
268,1748711,862
269,1748712,862
270,1589729,862
271,1748716,862
272,1748716,863
273,1748717,862
274,1336438,862
275,1748718,862
276,1748719,862
277,1748720,862
278,1468014,862
279,1425978,862
280,1425978,329
281,1425978,857
282,1425978,863
283,1425978,12
284,1425978,920
285,1425978,2503
286,1425978,212778
287,1425978,122917
288,1425978,99861
289,1425978,300671
290,1425978,302946
291,8276,862
292,8276,329
293,8276,11970
294,8276,565
295,7069,862
296,7069,510
297,7069,11970
298,7069,1213
299,15894,862
300,15894,95
301,15894,863
302,15894,2787
303,15894,920
304,15894,10681
305,15894,14160
306,15894,10193
307,15894,212778
308,1414177,862
309,1414177,180
310,1414177,565
311,1414177,14160
312,1414177,284052
313,1748724,862
314,1748724,863
315,1748725,862
316,8067,862
317,7902,862
318,7902,680
319,7902,10545
320,7902,11970
321,7902,863
322,7902,11688
323,7902,10865
324,7902,585
325,7902,11544
326,7902,9016
327,7902,3933
328,84493,862
329,84493,863
330,84493,10681
331,84493,10193
332,84493,150540
333,84493,335797
334,511,8844
335,511,28
336,511,1091
337,511,2668
338,511,6978
339,511,272
340,876,8844
341,876,1572
342,876,95
343,1729,8844
344,1729,197
345,1729,568
346,1729,679
347,1729,154
348,1729,597
349,1729,192
350,1729,2277
351,1729,853
352,1729,453
353,1729,652
354,1729,1579
355,1729,14574
356,1729,19995
357,1729,1930
358,1729,307081
359,1729,324786
360,4945,8844
361,4945,1771
362,4951,8844
363,4951,1771
364,4952,8844
365,8023,8844
366,8023,854
367,8023,9487
368,8023,863
369,8023,585
370,8023,211672
371,9967,8844
372,9967,601
373,9967,1824
374,9967,1271
375,9967,75780
376,9967,177677
377,9184,8844
378,9184,2787
379,9184,616
380,9184,51876
381,9196,8844
382,9196,2787
383,9196,616
384,18389,8844
385,11371,8844
386,11371,4011
387,11371,8699
388,42356,8844
389,42357,8844
390,56520,8844
391,56521,8844
392,37,13
393,37,2756
394,37,105
395,37,686
396,37,165
397,37,196
398,37,856
399,37,106
400,37,8358
401,37,11544
402,37,2832
403,37,1593
404,37,1771
405,37,24428
406,37,87502
407,37,49519
408,37,285783
409,37,369885
410,17698,1581
411,17698,257211
412,26160,1585
413,638,949
414,638,9361
415,638,1538
416,638,2567
417,638,11322
418,1254,949
419,1254,117
420,1254,550
421,1254,5915
422,5581,949
423,5581,628
424,5581,11322
425,11099,949
426,11099,9361
427,11099,2118
428,11099,9533
429,11099,36668
430,11099,11322
431,15840,949
432,15841,949
433,15841,2059
434,15841,4771
435,15841,68734
436,15841,97630
437,15841,205596
438,15841,227306
439,15841,321741
440,15842,949
441,15842,9495
442,15842,5503
443,15842,9361
444,15842,2666
445,1047,949
446,1047,103
447,1047,7299
448,897,949
449,897,6075
450,897,88
451,897,279
452,897,9361
453,897,95
454,897,1885
455,897,1621
456,897,11005
457,897,676
458,897,855
459,897,9509
460,897,11322
461,11411,949
462,11411,754
463,11411,557
464,11411,558
465,15843,949
466,15843,165
467,15843,196
468,8527,949
469,8527,105
470,8527,597
471,8527,2024
472,8527,180
473,8527,1635
474,8527,1858
475,8527,19995
476,8527,102382
477,8527,300671
478,1305,949
479,1305,558
480,1305,118
481,1305,39254
482,1305,62177
483,1305,273248
484,1305,241259
485,14765,949
486,14765,197
487,14765,754
488,14765,37135
489,14765,2024
490,14765,855
491,14765,2501
492,14765,2502
493,14765,1495
494,14765,2503
495,14765,4982
496,14765,206647
497,15847,949
498,15847,22
499,15848,949
500,15849,949
501,13458,949
502,13458,280
503,13458,1538
504,13458,324786
505,15850,949
506,13677,949
507,13677,377
508,13677,1541
509,1535950,949
510,1535950,855
511,1478953,949
512,1478953,754
513,1478953,50014
514,1478953,138843
515,1478953,318846
516,1424046,949
517,1424046,137
518,1550830,949
519,1550830,5915
520,1550830,7350
521,1550830,45317
522,1550830,55721
523,1479277,949
524,4727,949
525,4727,942
526,1404308,949
527,1404308,9361
528,1404308,36647
529,1535949,949
530,1535949,597
531,1535949,180
532,8870,949
533,8870,620
534,16551,949
535,16551,769
536,16551,1368
537,16551,11005
538,16551,24
539,16551,393
540,15846,949
541,15846,783
542,15845,949
543,15845,1422
544,15845,5176
545,15845,155
546,15845,102382
547,14653,949
548,14653,1091
549,14653,228205
550,1535951,949
551,1391385,949
552,1391385,11969
553,1406826,949
554,1406826,197
555,1406826,393
556,1406826,2503
557,1406826,13804
558,1406826,273248
559,1406826,281957
560,1392084,949
561,1392084,10545
562,1392084,9361
563,1392084,55721
564,1392084,1771
565,1392084,281957
566,1392901,949
567,1392901,98
