id,actor_id,movie_id,character_name
0,31,862,Woody (voice)
1,31,568,Woody (voice)
2,31,13,Woody (voice)
3,31,9800,Woody (voice)
4,31,857,Woody (voice)
5,31,2280,Woody (voice)
6,31,863,Woody (voice)
7,31,497,Woody (voice)
8,31,8358,Woody (voice)
9,31,4147,Woody (voice)
10,31,640,Woody (voice)
11,31,594,Woody (voice)
12,31,591,Woody (voice)
13,31,920,Woody (voice)
14,31,35,Woody (voice)
15,31,13448,Woody (voice)
16,31,10193,Woody (voice)
17,31,83542,Woody (voice)
18,31,109424,Woody (voice)
19,31,140823,Woody (voice)
20,31,296098,Woody (voice)
21,31,363676,Woody (voice)
22,31,331214,Woody (voice)
23,12898,862,Buzz Lightyear (voice)
24,12898,863,Buzz Lightyear (voice)
25,12898,920,Buzz Lightyear (voice)
26,12898,10193,Buzz Lightyear (voice)
27,7167,862,Mr. Potato Head (voice)
28,7167,524,Mr. Potato Head (voice)
29,7167,863,Mr. Potato Head (voice)
30,7167,10193,Mr. Potato Head (voice)
31,12899,862,Slinky Dog (voice)
32,12899,863,Slinky Dog (voice)
33,12899,10865,Slinky Dog (voice)
34,12900,862,Rex (voice)
35,12900,9603,Rex (voice)
36,12900,2493,Rex (voice)
37,12900,696,Rex (voice)
38,12900,863,Rex (voice)
39,12900,585,Rex (voice)
40,12900,9806,Rex (voice)
41,12900,10193,Rex (voice)
42,7907,862,Hamm (voice)
43,7907,1891,Hamm (voice)
44,7907,783,Hamm (voice)
45,7907,9487,Hamm (voice)
46,7907,1924,Hamm (voice)
47,7907,863,Hamm (voice)
48,7907,585,Hamm (voice)
49,7907,12,Hamm (voice)
50,7907,9806,Hamm (voice)
51,7907,920,Hamm (voice)
52,7907,2062,Hamm (voice)
53,7907,10681,Hamm (voice)
54,7907,14160,Hamm (voice)
55,7907,10193,Hamm (voice)
56,7907,62177,Hamm (voice)
57,7907,62211,Hamm (voice)
58,7907,150540,Hamm (voice)
59,7907,105864,Hamm (voice)
60,7907,127380,Hamm (voice)
61,8873,862,Bo Peep (voice)
62,8873,620,Bo Peep (voice)
63,8873,863,Bo Peep (voice)
64,1116442,862,Andy (voice)
65,1116442,863,Andy (voice)
66,1116442,10193,Andy (voice)
67,12901,862,Sid (voice)
68,12901,10193,Sid (voice)
69,12133,862,Mrs. Davis (voice)
70,12133,863,Mrs. Davis (voice)
71,12133,9016,Mrs. Davis (voice)
72,12133,10193,Mrs. Davis (voice)
73,8655,862,Sergeant (voice)
74,8655,807,Sergeant (voice)
75,8655,28,Sergeant (voice)
76,8655,600,Sergeant (voice)
77,8655,863,Sergeant (voice)
78,8655,10193,Sergeant (voice)
79,12903,862,Hannah (voice)
80,37221,862,TV Announcer (voice)
81,37221,1878,TV Announcer (voice)
82,2157,8844,Alan Parrish
83,2157,788,Alan Parrish
84,2157,812,Alan Parrish
