id,name,department,job,profile_path
7879,John Lasseter,Directing,Director,/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg
12891,Joss Whedon,Writing,Screenplay,/dTiVsuaTVTeGmvkhcyJvKp2A5kr.jpg
7,Andrew Stanton,Writing,Screenplay,/pvQWsu0qc8JFQhMVJkTHuexUAa1.jpg
12892,Joel Cohen,Writing,Screenplay,/dAubAiZcvKFbboWlj7oXOkZnTSu.jpg
12893,Alec Sokolow,Writing,Screenplay,/v79vlRYi94BZUQnkkyznbGUZLjT.jpg
12894,Bonnie Arnold,Production,Producer,
12895,Ed Catmull,Production,Executive Producer,
12896,Ralph Guggenheim,Production,Producer,
12897,Steve Jobs,Production,Executive Producer,/mOMP3SwD5qWQSR0ldCIByd3guTV.jpg
8,Lee Unkrich,Editing,Editor,/bdTCCXjgOV3YyaNmLGYGOxFQMOc.jpg
7883,Ralph Eggleston,Art,Art Direction,/uUfcGKDsKO1aROMpXRs67Hn6RvR.jpg
1168870,Robert Gordon,Editing,Editor,
1552883,Mary Helen Leasman,Sound,Foley Editor,
1453514,Kim Blanchette,Visual Effects,Animation,
1414182,Marilyn McCoppen,Sound,ADR Editor,
7885,Randy Newman,Sound,Orchestrator,/w0JzfoiM25nrnxYOzosPHRq6mlE.jpg
1429549,Dale E. Grahn,Editing,Color Timer,
7949,Robin Cooper,Visual Effects,CG Painter,
12890,Pete Docter,Writing,Original Story,/r6ngPgnReA3RHmKjmSoVsc6Awjp.jpg
7911,Joe Ranft,Writing,Original Story,/f1BoWC2JbCcfP1e5hKfGsxkHzVU.jpg
1629419,Patsy Bouge,Crew,Post Production Supervisor,
7961,Norm DeCarlo,Art,Sculptor,
12905,Ash Brannon,Visual Effects,Animation Director,/6ueWgPEEBHvS3De2BHYQnYjRTig.jpg
1748707,Roman Figun,Directing,Layout,
4949,Don Davis,Sound,Orchestrator,
1372885,James Flamberg,Sound,Music Editor,
1739962,Mary Beth Smith,Editing,Negative Cutter,
1748513,Rick Mackay,Editing,Negative Cutter,
1458006,Susan Bradley,Art,Title Designer,
1748557,William Reeves,Crew,Supervising Technical Director,
2216,Gary Rydstrom,Sound,Sound Designer,/jZpr1nVfO7lldWI0YtmP1FGw7Rj.jpg
12909,Karen Robert Jackson,Production,Production Supervisor,
953331,Chris Montan,Crew,Executive Music Producer,
7893,Rich Quade,Visual Effects,Animation Director,
8025,Michael Berenstein,Visual Effects,Animation,
78009,Colin Brady,Visual Effects,Animation,
1748682,Davey Crockett Feiten,Visual Effects,Animation,
1454030,Angie Glocka,Visual Effects,Animation,
1748683,Rex Grignon,Visual Effects,Animation,
1748684,Tom K. Gurney,Visual Effects,Animation,
8029,Jimmy Hayward,Visual Effects,Animation,/lTDRpudEY7BDwTefXbXzMlmb0ui.jpg
1426773,Hal T. Hickel,Visual Effects,Animation,
8035,Karen Kiser,Visual Effects,Animation,
1748688,Anthony B. LaMolinara,Visual Effects,Animation,
587314,Guionne Leroy,Visual Effects,Animation,
7918,Bud Luckey,Visual Effects,Animation,/pcCh7G19FKMNijmPQg1PMH1btic.jpg
1748689,Les Major,Visual Effects,Animation,
7892,Glenn McQueen,Visual Effects,Animation,
555795,Mark Oftedal,Visual Effects,Animation,
7882,Jeff Pidgeon,Visual Effects,Animation,/yLddkg5HcgbJg00cS13GVBnP0HY.jpg
8017,Jeff Pratt,Visual Effects,Animation,
1184140,Steve Rabatich,Visual Effects,Animation,
8049,Roger Rose,Visual Effects,Animation,
1509559,Steve Segal,Visual Effects,Animation,
1748691,Doug Sheppeck,Visual Effects,Animation,
8050,Alan Sperling,Visual Effects,Animation,
8010,Doug Sweetland,Visual Effects,Animation,
8044,David Tart,Visual Effects,Animation,
1454034,Ken Willard,Visual Effects,Animation,
7887,Thomas Porter,Visual Effects,Visual Effects Supervisor,
1406878,Mark Thomas Henne,Visual Effects,Visual Effects,
1748698,Oren Jacob,Visual Effects,Visual Effects,
1748699,Darwyn Peachey,Visual Effects,Visual Effects,
1748701,Mitch Prater,Visual Effects,Visual Effects,
1748703,Brian M. Rosen,Visual Effects,Visual Effects,
12912,Sharon Calahan,Lighting,Lighting Supervisor,
7899,Galyn Susman,Lighting,Lighting Supervisor,
12915,William Cone,Visual Effects,CG Painter,
1748705,Shelley Daniels Lekven,Art,Sculptor,
7889,Bob Pauley,Visual Effects,Character Designer,
1748706,Steve Johnson,Visual Effects,Character Designer,
1176752,Dan Haskett,Visual Effects,Character Designer,
1088034,Tom Holloway,Visual Effects,Character Designer,/a0r0T2usTBpgMI5aZbRBDW1fTl8.jpg
1447465,Jean Gillmore,Visual Effects,Character Designer,
1748709,Desirée Mourad,Directing,Layout,
1748710,Kelly O'Connell,Art,Set Dresser,
1443471,Sonoko Konishi,Art,Set Dresser,
1748711,Ann M. Rockwell,Art,Set Dresser,
1748712,Julie M. McDonald,Editing,Editorial Manager,
1589729,Robin Lee,Editing,Assistant Editor,
1748716,Tom Freeman,Editing,Assistant Editor,
1748717,Ada Cochavi,Editing,Assistant Editor,
1336438,Dana Mulligan,Editing,Assistant Editor,
1748718,Deirdre Morrison,Editing,Editorial Coordinator,
1748719,Lori Lombardo,Production,Production Coordinator,
1748720,Ellen Devine,Production,Production Coordinator,
1468014,Lauren Beth Strogoff,Crew,Unit Publicist,
1425978,Gary Summers,Sound,Sound Re-Recording Mixer,
8276,Tim Holland,Sound,Supervising Sound Editor,
7069,Pat Jackson,Sound,Sound Effects Editor,
15894,Tom Myers,Crew,Sound Design Assistant,
1414177,J.R. Grubbs,Sound,Assistant Sound Editor,
1748724,Susan Sanford,Sound,Assistant Sound Editor,
1748725,Susan Popovic,Sound,Assistant Sound Editor,
8067,Dan Engstrom,Sound,Assistant Sound Editor,
7902,Ruth Lambert,Production,Casting Consultant,
84493,Mickie McGowan,Production,ADR Voice Casting,/k7TjJBfINsg8vLQxJwos6XObAD6.jpg
511,Larry J. Franco,Production,Executive Producer,
876,Jonathan Hensleigh,Writing,Screenplay,/l1c4UFD3g0HVWj5f0CxXAvMAGiT.jpg
1729,James Horner,Sound,Original Music Composer,/oLOtXxXsYk8X4qq0ud4xVypXudi.jpg
4945,Joe Johnston,Directing,Director,/fok4jaO62v5IP6hkpaaAcXuw2H.jpg
4951,Robert Dalva,Editing,Editor,
4952,Nancy Foy,Production,Casting,/blCkmS4dqNsbPGuQfozHE6wgWBw.jpg
8023,Kyle Balda,Visual Effects,Animation Supervisor,/jR8iAP6uC0V42KbUG87qBIUO3Hj.jpg
9967,James D. Bissell,Art,Production Design,
9184,Scott Kroopf,Production,Producer,
9196,Ted Field,Production,Executive Producer,/qmB7sZcgRUq7mRFBSTlSsVXh7sH.jpg
18389,Robert W. Cort,Production,Executive Producer,
11371,Thomas E. Ackerman,Camera,Director of Photography,/xFDbxk53icM1ofL4iCIwB4GkUxN.jpg
42356,Chris van Allsburg,Writing,Novel,
42357,William Teitler,Production,Producer,
56520,Greg Taylor,Writing,Screenplay,
56521,Jim Strain,Writing,Screenplay,
37,Alan Silvestri,Sound,Original Music Composer,/chEsfnDEtRmv1bfOaNAoVEzhCc6.jpg
17698,Nancy Meyers,Writing,Screenplay,/nMPHU06dnvVxEjjcnPCPUQgQ2Mp.jpg
26160,Albert Hackett,Writing,Screenplay,
638,Michael Mann,Directing,Director,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg
1254,Art Linson,Production,Producer,/dEtVivCXxQBtIzmJcUNupT1AB4H.jpg
5581,Elliot Goldenthal,Sound,Original Music Composer,/mr1rr5bQySCwp564E1Ag363SgLH.jpg
11099,Dante Spinotti,Camera,Director of Photography,/vIb3GU52BvSIQh1MXZRFDVRnqsm.jpg
15840,Pasquale Buba,Editing,Editor,
15841,William Goldenberg,Editing,Editor,/eOgoea8HbZt2TfLn0tDNI1TepSN.jpg
15842,Dov Hoenig,Editing,Editor,
1047,Tom Rolf,Editing,Editor,
897,Bonnie Timmermann,Production,Casting,/jM8QANtq0v7Eqy8ZYtKot27nsfK.jpg
11411,Neil Spisak,Art,Production Design,
15843,Margie Stone McShirley,Art,Art Direction,
8527,Deborah Lynn Scott,Costume & Make-Up,Costume Design,
1305,Bill Abbott,Sound,Music Editor,
14765,Per Hallberg,Sound,Supervising Sound Editor,
15847,Terry D. Frazee,Crew,Special Effects Coordinator,
15848,Paul H. Haines Jr.,Crew,Special Effects,
15849,Neil Krepela,Visual Effects,Visual Effects Supervisor,
13458,Joel Kramer,Crew,Stunt Coordinator,
15850,Tony Brubaker,Crew,Stunts,
13677,Anne H. Ahrens,Art,Set Decoration,
1535950,Darryl M. Athons,Costume & Make-Up,Costume Supervisor,
1478953,Cate Hardman,Directing,Script Supervisor,
1424046,Jane Brody,Production,Casting,
1550830,Donald Frazee,Crew,Special Effects,
1479277,Oscar Mazzola,Art,Art Department Coordinator,
4727,Dianne Wager,Art,Assistant Art Director,
1404308,Anthony Lattanzio,Art,Construction Coordinator,
1535949,David Le Vey,Costume & Make-Up,Assistant Costume Designer,
8870,Leonard Engelman,Costume & Make-Up,Hairstylist,
16551,Ilona Herman,Costume & Make-Up,Hairstylist,
15846,Vera Mitchell,Costume & Make-Up,Key Hair Stylist,
15845,John Caglione Jr.,Costume & Make-Up,Makeup Artist,
14653,Ken Diaz,Costume & Make-Up,Makeup Artist,/evDWsHoxnKp5saXTjVOMFXJnX3O.jpg
1535951,Neal J. Anderson,Editing,Dialogue Editor,
1391385,Duncan Burns,Editing,Dialogue Editor,
1406826,Hector C. Gika,Editing,Dialogue Editor,
1392084,Larry Kemp,Sound,Supervising Sound Editor,
1392901,Lauren Stephens,Editing,Dialogue Editor,
1409831,Gary Jay,Camera,Camera Operator,
21118,James Muro,Camera,Steadicam Operator,
1412205,Frank Connor,Camera,Still Photographer,
1403479,Duane Manwiller,Camera,First Assistant Camera,
1347763,Chris Moseley,Camera,First Assistant Camera,
1415635,Frank Dorowsky,Lighting,Rigging Gaffer,
1406905,Michael Connell,Sound,Music Editor,
75002,Budd Carr,Sound,Music Supervisor,
60592,Matthew Booth,Editing,First Assistant Editor,
1433743,Vicki Hiatt,Editing,First Assistant Editor,
1405208,Thomas R. Bryant,Editing,First Assistant Editor,
1432026,Ray Boniker,Editing,First Assistant Editor,
1401687,Anna Behlmer,Sound,Sound Re-Recording Mixer,
16177,Ron Bartlett,Sound,Sound Re-Recording Mixer,
1368864,Chris Jenkins,Sound,Sound Re-Recording Mixer,
1338976,Andy Nelson,Sound,Sound Re-Recording Mixer,
1544638,Mark Smith,Sound,Sound Re-Recording Mixer,
1576553,Daniel O'Haco,Crew,Stunts,
1457709,Mick Gould,Crew,Technical Supervisor,/6BcVGV4fUITs2jaThbOq4GHlAFU.jpg
1576562,Tim Werner,Crew,Stunts,
639,Pieter Jan Brugge,Production,Executive Producer,/wSaIhLLvLSxxgOPugUx7M8ZBpD8.jpg
944682,Gusmano Cesaretti,Production,Associate Producer,
376,Arnon Milchan,Production,Executive Producer,/5crR5twLRcIdvRR06dB1O0EQ8x0.jpg
1494667,Christopher Cronyn,Production,Unit Production Manager,
212137,Michael Waxman,Directing,Assistant Director,
1535952,Alison E. McBryde,Production,Casting Associate,
1392142,Marsha Bozeman,Costume & Make-Up,Set Costumer,
548451,Jeff Wells,Crew,Digital Effects Supervisor,
142157,Doug Coleman,Crew,Stunts,
1629423,Philip Rogers,Crew,Sound Recordist,
15178,Jimmy Webb,Sound,Additional Soundtrack,/hWNr6XzL5TiAkr93eVFSbILhVYr.jpg
2226,Sydney Pollack,Directing,Director,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg
