movie_id,genre_id
862,16
862,35
862,10751
8844,12
8844,14
8844,10751
949,28
949,80
949,18
949,53
710,12
710,28
710,53
524,18
524,80
63,878
63,53
63,9648
9603,35
9603,18
9603,10749
807,80
807,9648
807,53
10530,12
10530,16
10530,18
10530,10751
629,18
629,80
629,53
755,27
755,28
755,53
755,80
406,18
197,28
197,18
197,36
197,10752
103,80
103,18
9737,28
9737,35
9737,80
9737,53
568,18
8068,53
8068,28
8068,80
1572,28
1572,53
76,18
76,10749
2292,35
8467,35
522,35
522,18
522,36
628,27
628,10749
11,12
11,28
11,878
241,80
241,53
241,18
101,53
101,80
101,18
680,53
680,80
2164,28
2164,12
2164,878
278,18
278,80
1587,10749
1587,18
9495,14
9495,28
9495,53
13,35
13,18
13,10749
8587,10751
8587,16
8587,18
854,10749
854,35
854,80
854,14
1637,28
1637,12
1637,80
36955,28
36955,53
6075,28
6075,80
6075,18
6075,53
9571,35
9571,18
5503,12
5503,28
5503,53
5503,80
5503,9648
329,12
329,878
788,35
788,18
788,10751
9800,18
424,18
424,36
424,10752
78,878
78,18
78,53
9479,14
9479,16
9479,10751
11969,28
11969,12
11969,18
11969,36
11969,37
319,28
319,53
319,80
319,10749
771,35
771,10751
251,14
251,18
251,53
251,9648
251,10749
812,16
812,10751
812,35
812,12
812,14
812,10749
280,28
280,53
280,878
581,12
581,18
581,37
268,14
268,28
274,80
274,18
274,53
408,14
408,16
408,10751
10020,10749
10020,10751
10020,16
10020,14
10020,10402
10895,16
10895,10751
114,10749
114,35
275,80
275,18
275,53
10112,16
10112,35
10112,10751
10112,12
1592,80
1592,18
1592,9648
1592,53
954,12
954,28
954,53
9802,28
9802,12
9802,53
9323,28
9323,16
9323,878
935,18
935,35
935,10752
627,18
627,80
602,28
602,12
602,878
10545,18
10545,16
10545,10751
10830,35
10830,10751
10830,14
238,18
238,80
872,35
872,10402
872,10749
164,35
164,18
164,10749
426,9648
426,10749
426,53
567,18
567,9648
567,53
213,9648
213,53
284,35
284,18
284,10749
239,35
239,10749
289,18
289,10749
804,35
804,10749
630,12
630,10751
630,14
770,18
770,10749
770,10752
599,18
15,9648
15,18
62,878
62,9648
62,12
1585,18
1585,10751
1585,14
10331,27
11224,10751
11224,14
11224,16
11224,10749
9078,16
9078,10751
433,35
433,10751
433,14
11360,16
11360,10751
12092,16
12092,12
12092,10751
12092,14
10948,12
10948,16
10948,18
10948,10751
15121,18
15121,10751
15121,10402
15121,10749
562,28
562,53
454,18
454,10749
819,80
819,18
819,53
252,10751
252,14
583,35
521,80
521,9648
521,53
88,18
88,10402
88,10749
500,80
500,53
792,18
792,10752
792,28
601,878
601,12
601,10751
601,14
744,28
744,10749
744,10752
2756,12
2756,28
2756,53
2756,878
762,12
762,35
762,14
11216,18
11216,10749
975,18
975,10752
510,18
1891,12
1891,28
1891,878
2493,12
2493,10751
2493,14
2493,35
2493,10749
85,12
85,28
68,35
68,878
679,27
679,28
679,53
679,878
429,37
389,18
947,12
947,18
947,36
947,10752
185,878
185,18
595,80
595,18
28,18
28,10752
335,37
1892,12
1892,28
1892,878
769,18
769,80
348,27
348,28
348,53
348,878
766,14
766,27
766,35
539,18
539,27
539,53
525,10402
525,35
525,28
525,80
240,18
240,80
600,18
600,10752
279,18
279,36
279,10402
311,18
311,80
1578,18
703,35
703,18
703,10749
387,28
387,18
387,36
387,10752
387,12
9277,35
9277,80
9277,18
490,14
490,18
218,28
218,53
218,878
696,35
696,18
696,10749
207,18
37247,18
826,18
826,36
826,10752
829,80
829,18
829,9648
829,53
694,27
694,53
235,80
235,18
832,18
832,28
832,53
832,80
765,27
765,35
765,14
5925,12
5925,18
5925,36
5925,53
5925,10752
11778,18
11778,10752
137,10749
137,14
137,18
137,35
33,37
105,12
105,35
105,878
105,10751
149,878
149,16
3034,35
3034,878
914,35
756,16
756,10751
756,10402
665,28
665,12
665,18
665,36
89,12
89,28
783,18
783,36
642,36
642,18
642,37
642,80
639,35
639,10749
639,18
571,27
6114,10749
6114,27
7340,27
7340,53
377,27
1573,28
1573,53
154,28
154,12
154,878
154,53
364,28
364,14
621,10749
578,27
578,53
578,12
4232,80
4232,27
4232,9648
9361,28
9361,12
9361,18
9361,36
9361,10749
9361,10752
638,18
638,53
638,9648
9366,80
9366,18
9366,53
18,12
18,14
18,28
18,53
18,878
11970,16
11970,10751
11970,14
11970,12
11970,35
11970,10749
754,28
754,80
754,878
754,53
607,28
607,12
607,35
607,878
686,18
686,878
686,9648
1669,28
1669,12
1669,53
2118,80
2118,18
2118,9648
2118,53
2649,18
2649,53
2649,9648
1813,18
1813,27
1813,9648
1813,53
782,53
782,878
782,9648
782,10749
4995,18
563,12
563,28
563,53
563,878
37165,35
37165,18
9444,16
9444,10751
489,18
597,18
597,10749
597,53
184,35
184,80
184,10749
115,35
115,80
2666,9648
2666,878
2898,35
2898,10749
1878,12
1878,18
1878,35
10674,16
10674,10751
10674,12
95,28
95,53
95,878
95,12
544,10749
544,35
1366,18
380,18
2108,35
2108,18
948,27
948,53
609,27
9552,18
9552,27
9552,53
941,12
941,28
941,35
941,53
941,80
942,28
942,12
942,35
942,80
942,53
927,14
927,27
927,35
9340,12
9340,35
9340,10751
19,18
19,878
165,12
165,35
165,10751
165,878
196,12
196,35
196,10751
196,878
3170,16
3170,18
3170,10751
346,28
346,18
242,80
242,18
242,53
857,18
857,36
857,10752
793,80
793,18
793,9648
793,53
9325,10751
9325,16
9325,12
10340,10751
10340,16
10144,16
10144,10751
12230,12
12230,16
12230,35
12230,10751
10693,16
10693,10402
10693,10751
10693,12
10693,14
10882,14
10882,16
10882,10749
10882,10751
87,12
87,28
805,27
805,18
805,9648
34584,18
34584,10751
34584,14
34584,12
36647,27
36647,28
4011,14
4011,35
1580,80
1580,18
1580,9648
1580,53
117,80
117,18
117,36
117,53
431,53
431,878
431,9648
881,18
2109,28
2109,35
2109,80
2109,53
1091,27
1091,9648
1091,878
162,14
162,18
162,10749
1955,18
1955,36
637,35
637,18
73,18
297,14
297,18
297,9648
9798,28
9798,18
9798,53
9487,12
9487,16
9487,35
9487,10751
9837,12
9837,16
9837,18
9837,10751
9837,10402
11545,35
11545,18
1368,28
1368,12
1368,53
1368,10752
1367,18
1885,18
8741,18
8741,36
8741,10752
10312,35
10312,18
9426,27
9426,878
192,18
192,53
192,9648
1542,35
1542,80
871,878
871,12
871,18
871,28
100,35
100,80
603,28
603,878
4951,35
4951,10749
4951,18
564,12
564,28
564,14
1893,12
1893,28
1893,878
1924,28
1924,12
1924,14
1924,878
36685,35
36685,27
36685,10402
36685,878
509,10749
509,35
509,18
37135,12
37135,16
37135,18
37135,10751
10376,14
104,28
104,18
104,53
9473,16
9473,35
9473,10402
2105,35
2105,10749
345,9648
345,18
620,35
620,14
3175,18
3175,10749
3175,10752
10386,12
10386,16
10386,10751
10386,14
10386,878
745,9648
745,53
745,18
813,35
2280,14
2280,18
2280,35
2280,10749
2280,10751
14,18
861,28
861,12
861,878
9377,35
658,12
658,28
658,53
646,12
646,28
646,53
391,37
772,35
772,10751
772,12
772,80
550,18
5548,28
5548,53
5548,878
856,14
856,16
856,35
856,80
856,10751
492,14
492,18
492,35
128,12
128,14
128,16
37094,80
37094,18
37094,53
11886,16
11886,10751
1621,35
2668,18
2668,14
2668,53
2668,9648
11005,18
863,16
863,35
863,10751
497,14
497,18
497,80
2277,35
2277,878
334,18
1213,53
1213,80
1213,18
3558,18
9475,18
8374,28
8374,53
8374,80
2787,53
2787,878
2787,28
901,35
901,18
901,10749
968,80
968,18
968,53
462,18
1541,18
1541,53
1541,80
1541,12
3082,18
3082,35
840,878
840,18
10501,12
10501,16
10501,35
10501,10751
879,12
879,14
879,35
879,10751
1700,18
1700,53
106,878
106,28
106,12
106,53
1359,53
1359,18
1359,80
1443,18
1443,10749
98,28
98,18
98,12
938,37
9659,12
9659,28
9659,53
9659,878
8810,12
8810,28
8810,53
8810,878
6978,28
6978,12
6978,35
6978,14
2024,18
2024,36
2024,10752
2024,28
36657,12
36657,28
36657,878
37136,35
37136,80
786,18
786,10402
10637,18
1597,35
1597,10749
641,80
641,18
71,18
71,35
71,10402
9741,878
9741,53
9741,18
146,12
146,18
146,28
146,10749
107,53
107,80
392,35
392,18
392,10749
11688,12
11688,16
11688,35
11688,10751
11688,14
8358,12
8358,18
134,28
134,12
134,35
90,28
90,35
90,80
764,27
853,10752
77,9648
77,53
55,18
55,53
4133,80
4133,18
634,35
634,10749
634,18
111,28
111,80
111,18
111,53
808,12
808,16
808,35
808,10751
808,14
824,18
824,10402
824,10749
676,36
676,10749
676,10752
1089,28
1089,53
1089,80
10865,16
10865,10751
10865,12
10865,878
9799,28
9799,80
9799,53
644,18
644,878
644,12
1933,27
1933,18
1933,9648
1933,53
2034,28
2034,80
2034,18
2034,53
1018,53
1018,18
1018,9648
984,28
984,80
984,53
167,18
167,878
141,14
141,18
141,9648
585,16
585,35
585,10751
671,12
671,14
671,10751
161,53
161,80
194,35
194,10749
9428,35
9428,18
120,12
120,14
120,28
453,18
453,10749
855,28
855,36
855,10752
10229,18
10229,10749
425,16
425,35
425,10751
425,12
1576,27
1576,28
1576,878
4547,80
4547,18
4547,53
548,80
548,18
548,9648
557,14
557,28
1894,12
1894,28
1894,878
320,80
320,9648
320,53
9023,37
9023,16
9023,12
9023,35
9023,10751
2501,28
2501,18
2501,9648
2501,53
11544,16
11544,10751
180,28
180,53
180,878
180,9648
4147,53
4147,80
4147,18
4108,28
4108,80
4108,53
129,14
129,12
129,16
129,10751
9533,80
9533,53
9533,27
565,27
565,9648
12477,16
12477,18
12477,10752
65,18
672,12
672,14
672,10751
9016,12
9016,16
9016,10751
9016,14
9016,878
2757,35
2757,80
2757,18
7299,28
7299,878
7299,53
121,12
121,14
121,28
1429,80
1429,18
3131,18
3131,36
3131,80
8392,14
8392,16
8392,10751
640,18
640,80
423,18
423,10752
598,18
598,80
1817,53
1817,18
2832,9648
2832,53
36658,12
36658,28
36658,878
36658,53
10515,12
10515,14
10515,16
10515,28
10515,10751
10515,10749
604,12
604,28
604,53
604,878
310,14
310,35
12,16
12,10751
9654,28
9654,80
170,27
170,53
170,878
22,12
22,14
22,28
153,18
277,14
277,28
277,53
1584,35
1584,10402
322,53
322,80
322,18
322,9648
24,28
24,80
10009,12
10009,16
10009,10751
605,12
605,28
605,53
605,878
508,35
508,10749
508,18
8619,12
470,18
470,80
470,53
3176,18
3176,53
3176,12
79,18
79,12
79,28
79,36
81,12
81,16
81,14
616,18
616,28
616,10752
616,36
587,12
587,14
587,18
122,12
122,14
122,28
1954,878
1954,53
1278,18
1278,10749
1824,35
1824,10749
615,18
338,35
338,18
338,10749
924,14
924,27
924,28
38,878
38,18
38,10749
553,80
553,18
553,53
1487,14
1487,28
1487,878
923,27
393,28
393,80
393,53
9509,28
9509,18
9509,53
9509,80
10625,35
652,12
652,18
652,10752
10775,18
10775,28
10775,53
10775,80
10775,9648
809,12
809,16
809,35
809,10751
809,14
673,12
673,14
673,10751
594,35
594,18
11036,10749
11036,18
558,28
558,12
558,14
80,18
80,10749
8699,35
2048,28
2048,878
2502,28
2502,18
2502,53
1538,18
1538,80
1538,53
747,27
747,35
4553,53
4553,18
176,27
176,9648
176,80
9806,28
9806,12
9806,16
9806,10751
866,18
2059,12
2059,28
2059,53
2059,9648
163,53
163,80
16859,16
16859,12
16859,18
16859,14
11621,35
11621,16
11621,12
9732,16
9732,10751
9732,12
2899,10751
2899,14
2899,35
2899,12
11774,12
11774,35
11774,10751
670,18
670,53
670,9648
670,28
5528,18
70,18
205,18
205,36
205,10752
118,12
118,35
118,10751
118,14
421,12
421,35
421,18
2567,18
613,18
613,36
613,10752
4935,14
4935,16
4935,12
561,18
561,14
561,27
9470,28
9470,35
9470,80
9470,14
187,28
187,53
187,80
7453,12
7453,35
7453,10751
7453,878
1495,18
1495,28
1495,12
1495,36
1495,10752
1640,18
1895,878
1895,12
1895,28
953,10751
953,16
921,10749
921,18
921,36
787,28
787,35
787,18
787,53
272,28
272,80
272,18
1635,28
1635,53
1635,878
1635,12
16320,878
16320,28
16320,12
16320,53
19404,35
19404,18
19404,10749
1830,80
1830,18
1830,53
3933,10749
3933,14
3933,16
3933,10402
59,18
59,53
59,80
5236,28
5236,35
5236,80
5236,9648
142,18
142,10749
4348,18
4348,10749
9392,12
9392,27
674,12
674,14
674,10751
69,18
69,10402
69,10749
116,18
116,53
116,80
116,10749
411,12
411,10751
411,14
254,12
254,18
254,28
1904,18
1904,36
1904,10749
950,16
950,10751
950,35
950,12
752,28
752,53
752,14
388,80
388,18
388,53
582,18
582,53
186,18
186,53
186,80
186,9648
956,12
956,28
956,53
591,53
591,9648
36668,12
36668,28
36668,878
36668,53
920,16
920,12
920,35
920,10751
350,35
350,18
350,10749
58,12
58,14
58,28
773,35
773,18
1164,18
1593,28
1593,12
1593,35
1593,10751
1593,14
1262,35
1262,18
1262,14
1262,10749
1402,18
1948,28
1948,53
1948,80
9762,10402
9762,18
9762,10749
9762,80
1491,14
1491,18
1491,53
1491,10749
1579,28
1579,12
1579,18
1579,53
496,35
1417,14
1417,18
1417,10752
1422,18
1422,53
1422,80
1523,18
9693,18
9693,28
9693,53
9693,878
1124,18
1124,9648
1124,53
1427,80
1427,14
1427,18
36557,12
36557,28
36557,53
7551,28
7551,53
7551,878
1581,35
1581,10749
1372,18
1372,53
1372,28
1265,12
1265,18
